,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex
8295,183452,2015,21.3407,1,8,1,6,7,3,1
8296,183453,2015,17.8927,1,5,6,7,2,2,1
8297,183454,2015,28.9917,1,8,1,3,3,4,1
8298,183456,2015,23.5664,1,1,1,7,1,1,1
8299,183457,2015,26.9679,2,3,4,7,2,3,1
8300,183461,2015,21.9733,1,3,4,7,6,1,1
8301,183465,2015,22.1797,1,1,2,7,3,1,1
8302,183466,2015,18.4807,2,8,3,3,2,1,1
8303,183467,2015,19.8274,2,1,2,5,1,1,1
8304,183468,2015,22.4683,2,6,3,7,1,1,1
8305,183469,2015,22.2171,2,6,2,6,1,1,1
8306,183470,2015,18.0618,2,6,5,7,3,3,1
8307,183472,2015,21.9945,1,1,1,7,2,1,1
8308,183474,2015,20.0185,1,7,5,7,3,1,1
8309,183477,2015,25.7617,1,5,4,1,3,3,1
8310,183478,2015,24.2931,2,3,7,7,3,3,1
8311,183479,2015,18.8339,2,2,2,5,1,1,1
8312,183480,2015,37.5588,1,1,7,3,2,1,1
8313,183481,2015,17.9989,2,8,3,5,1,3,1
8314,183482,2015,23.003,2,6,3,3,2,1,1
8315,183483,2015,27.782,2,4,4,3,1,1,1
8316,183484,2015,20.3169,1,1,4,2,2,1,1
8317,183485,2015,22.4986,2,6,2,1,2,1,1
8318,183487,2015,19.3233,1,8,6,6,5,1,1
8319,183489,2015,20.9785,2,4,4,3,1,3,1
8320,183490,2015,21.1607,2,1,5,2,1,1,1
8321,183491,2015,23.0494,2,3,5,6,1,1,1
8322,183493,2015,31.391,1,6,5,7,2,1,1
8323,183494,2015,26.6826,2,1,2,7,1,1,1
8324,183495,2015,28.3516,1,4,2,2,2,4,1
8325,183497,2015,16.9032,1,8,3,1,1,1,1
8326,183498,2015,30.7315,1,2,4,4,2,1,1
8327,183499,2015,21.793,1,1,7,5,3,1,1
8328,183501,2015,29.2344,2,4,5,5,2,1,1
8329,183502,2015,20.5644,1,5,2,6,1,1,1
8330,183503,2015,19.2391,2,5,3,2,1,1,1
8331,183504,2015,17.4949,1,5,4,6,2,1,1
8332,183505,2015,24.2666,2,5,2,4,2,1,1
8333,183506,2015,23.5433,2,1,7,7,1,1,1
8334,183508,2015,18.3633,1,5,2,4,1,1,1
8335,183509,2015,18.3287,2,1,1,1,1,1,1
8336,183510,2015,20.0893,1,7,2,5,1,1,1
8337,183511,2015,24.1071,1,8,2,7,3,3,1
8338,183512,2015,19.7669,1,4,4,1,3,1,1
8339,183513,2015,19.4464,2,7,3,6,1,1,1
8340,183514,2015,17.8955,2,6,1,4,1,1,1
8341,183515,2015,17.0725,2,4,5,4,1,1,1
8342,183516,2015,23.5433,2,8,2,7,2,2,1
8343,183517,2015,19.6319,1,5,4,4,1,1,1
8344,183518,2015,23.7847,2,8,3,4,1,1,1
8345,183519,2015,18.0332,1,3,2,4,1,3,1
8346,183520,2015,23.3029,2,1,1,7,1,4,1
8347,183521,2015,15.4931,2,8,3,4,1,3,1
8348,183523,2015,21.6602,1,8,2,2,5,1,1
8349,183524,2015,18.3287,2,5,4,4,1,1,1
8350,183525,2015,20.6094,2,3,1,4,2,3,1
8351,183526,2015,21.6602,1,8,2,1,2,1,1
8352,183527,2015,20.3913,1,1,2,7,1,2,1
8353,183528,2015,20.4863,2,3,1,2,2,1,1
8354,183529,2015,18.4024,2,5,4,6,2,1,1
8355,183530,2015,23.9239,1,2,5,1,1,1,1
8356,183531,2015,23.7422,1,2,7,6,1,1,1
8357,183532,2015,23.9239,2,6,5,2,1,1,1
8358,183533,2015,21.8255,1,7,3,1,1,4,1
8359,183534,2015,25.8255,1,1,1,1,2,3,1
8360,183535,2015,20.7305,2,4,6,7,1,1,1
8361,183537,2015,20.1438,2,8,1,1,1,1,1
8362,183538,2015,20.0893,1,8,1,5,1,1,1
8363,183539,2015,18.3287,2,4,3,7,1,1,1
8364,183540,2015,24.0732,2,4,2,2,1,1,1
8365,183541,2015,19.6319,1,1,1,1,1,1,1
8366,183542,2015,21.2617,1,7,2,1,2,1,1
8367,183543,2015,21.5349,2,6,3,4,1,1,1
8368,183544,2015,19.6319,2,3,2,4,1,1,1
8369,183545,2015,18.0618,2,4,3,5,1,1,1
8370,183546,2015,20.4048,2,8,7,7,1,2,1
8371,183548,2015,38.0886,2,4,6,1,2,1,1
8372,183549,2015,24.1071,1,4,2,2,1,1,1
8373,183550,2015,20.0234,1,8,3,3,2,1,1
8374,183552,2015,17.4221,2,4,2,6,1,1,1
8375,183554,2015,25.4256,2,8,4,2,2,1,1
8376,183556,2015,22.195,1,7,3,4,1,1,1
8377,183557,2015,20.6094,2,1,6,4,3,1,1
8378,183558,2015,23.0352,1,1,1,4,1,1,1
8379,183559,2015,25.7617,2,8,3,1,2,3,1
8380,183560,2015,28.125,2,2,4,7,2,1,1
8381,183561,2015,26.4023,2,1,3,6,1,1,1
8382,183562,2015,17.5,2,2,1,5,2,1,1
8383,183563,2015,19.1589,2,5,6,7,1,1,1
8384,183564,2015,22.1797,2,3,3,4,1,1,1
8385,183565,2015,19.0443,2,2,3,2,1,1,1
8386,183566,2015,22.195,2,1,1,1,7,4,1
8387,183567,2015,28.5245,1,1,5,4,2,1,1
8388,183568,2015,27.4671,1,1,5,4,2,1,1
8389,183569,2015,29.0762,1,1,1,7,1,1,1
8390,183570,2015,19.9744,2,6,6,1,1,1,1
8391,183571,2015,20.9063,2,2,3,5,1,3,1
8392,183572,2015,23.3867,1,6,2,7,4,1,1
8393,183573,2015,23.3029,2,6,2,4,2,1,1
8394,183574,2015,20.5547,1,8,1,7,2,1,1
8395,183575,2015,21.2617,2,6,3,4,1,1,1
8396,183576,2015,22.4512,1,7,7,6,2,1,1
8397,183577,2015,32.3927,1,8,4,7,2,4,1
8398,183578,2015,22.082,1,3,4,2,3,1,1
8399,183579,2015,18.7813,2,5,6,7,7,1,1
8400,183580,2015,18.8339,2,8,3,1,2,1,1
8401,183581,2015,19.2555,1,6,7,7,3,1,1
8402,183582,2015,19.12,2,3,4,7,2,1,1
8403,183583,2015,16.0104,2,3,4,3,1,1,1
8404,183584,2015,23.3029,2,7,4,5,1,1,1
8405,183585,2015,19.805,2,7,3,3,2,4,1
8406,183586,2015,17.7188,2,1,3,7,2,1,1
8407,183587,2015,22.1866,2,8,4,1,1,4,1
8408,183588,2015,19.8274,1,6,4,1,4,4,1
8409,183589,2015,18.9541,2,6,3,7,2,1,1
8410,183590,2015,17.9989,2,2,2,1,2,1,1
8411,183591,2015,20.7644,2,3,5,2,2,3,1
8412,183592,2015,24.1071,2,5,2,4,1,1,1
8413,183594,2015,18.0963,2,1,5,4,3,1,1
8414,183595,2015,51.3828,1,3,4,1,3,1,1
8415,183596,2015,26.0469,2,1,2,7,5,3,1
8416,183597,2015,19.5556,1,8,1,1,1,1,1
8417,183598,2015,22.0219,1,3,5,4,1,1,1
8418,183599,2015,31.6524,2,3,3,3,2,1,1
8419,183600,2015,16.4959,2,5,4,4,2,1,1
8420,183601,2015,21.1611,2,5,3,3,1,1,1
8421,183602,2015,20.3169,1,8,3,2,2,1,1
8422,183603,2015,16.2181,2,8,3,2,2,1,1
8423,183605,2015,19.4922,2,3,4,1,1,1,1
8424,183606,2015,16.0488,2,1,4,6,1,1,1
8425,183607,2015,18.9931,1,4,5,3,3,3,1
8426,183608,2015,27.4178,2,4,1,7,1,4,1
8427,183609,2015,32.1765,1,5,7,1,1,1,1
8428,183610,2015,18.5016,1,5,2,1,2,1,1
8429,183611,2015,34.9899,2,8,2,5,2,1,1
8430,183612,2015,20.8264,2,6,1,7,1,1,1
8431,183614,2015,20.09,2,5,3,7,2,1,1
8432,183615,2015,21.9723,1,8,1,3,3,1,1
8433,183616,2015,21.3361,2,7,3,1,1,1,1
8434,183617,2015,32.2669,2,7,4,7,2,3,1
8435,183620,2015,24.7347,2,1,2,2,1,1,1
8436,183621,2015,22.494,2,4,2,5,2,1,1
8437,183622,2015,21.2617,1,4,3,5,4,3,1
8438,183625,2015,20.77,2,3,5,4,1,3,1
8439,183627,2015,16.2309,2,1,7,7,1,1,1
8440,183628,2015,24.8264,1,8,3,3,4,4,1
8441,183629,2015,15.6041,2,6,6,7,2,1,1
8442,183630,2015,15.9963,2,4,5,7,2,1,1
8443,183631,2015,26.8389,2,2,5,5,2,3,1
8444,183632,2015,17.6679,2,5,2,4,2,3,1
8445,183634,2015,19.1589,2,6,1,2,2,1,1
8446,183635,2015,25.4394,2,3,2,7,2,3,1
8447,183636,2015,26.2089,2,6,1,7,3,1,1
8448,183637,2015,24.5453,1,3,2,2,2,3,1
8449,183638,2015,30.3623,1,8,3,3,1,3,1
8450,183639,2015,20.36,1,8,5,1,2,3,1
8451,183640,2015,31.5857,1,2,4,1,5,3,1
8452,183641,2015,27.3176,2,4,5,4,2,1,1
8453,183642,2015,26.6133,1,6,2,3,2,3,1
8454,183643,2015,21.3754,1,1,2,7,7,3,1
8455,183644,2015,25.9176,2,7,2,3,1,1,1
8456,183645,2015,23.9239,1,8,2,4,1,1,1
8457,183646,2015,23.9239,1,1,4,7,5,3,1
8458,183647,2015,23.003,1,5,3,6,2,1,1
8459,183648,2015,19.4922,1,4,7,7,2,4,1
8460,183649,2015,19.2591,2,7,1,5,2,3,1
8461,183651,2015,26.5062,1,8,1,4,4,3,1
8462,183652,2015,23.003,1,4,1,6,1,1,1
8463,183653,2015,24.8047,1,5,1,3,2,1,1
8464,183654,2015,20.7197,2,6,4,6,1,1,1
8465,183656,2015,18.6055,1,8,6,6,3,1,1
8466,183657,2015,21.1446,2,8,3,7,3,3,1
8467,183658,2015,29.5706,2,8,7,7,2,1,1
8468,183659,2015,19.9967,2,8,2,3,1,1,1
8469,183660,2015,20.0893,1,7,2,2,1,1,1
8470,183661,2015,20.1438,1,4,1,1,3,1,1
8471,183663,2015,24.0977,2,5,5,2,2,1,1
8472,183664,2015,16.7994,1,5,2,1,3,1,1
8473,183665,2015,29.4494,1,3,4,3,2,1,1
8474,183666,2015,26.6826,2,6,4,7,1,1,1
8475,183674,2015,24.8047,2,5,2,3,1,1,1
8476,183675,2015,21.1415,2,6,7,7,1,4,1
8477,183676,2015,19.6337,2,1,2,1,2,3,1
8478,183677,2015,18.7813,1,2,7,7,4,4,1
8479,183678,2015,22.1484,1,5,5,3,2,1,1
8480,183679,2015,26.8178,2,4,2,6,2,3,1
8481,183680,2015,21.7128,1,2,1,1,1,3,1
8482,183685,2015,18.3633,2,1,4,3,2,3,1
8483,183686,2015,33.9854,2,2,2,7,1,3,1
8484,183687,2015,31.2832,2,3,5,5,1,3,1
8485,183688,2015,19.875,2,6,1,1,1,3,1
8486,183689,2015,27.1444,1,7,2,1,1,1,1
8487,183691,2015,21.598,2,1,2,6,1,4,1
8488,183692,2015,24.6575,1,1,1,2,2,2,1
8489,183693,2015,21.1611,1,6,1,1,2,4,1
8490,183695,2015,29.8433,2,2,4,5,2,3,1
8491,183696,2015,21.6978,1,3,7,2,1,3,1
8492,183697,2015,15.0625,2,2,4,7,3,1,1
8493,183698,2015,22.082,1,6,6,6,2,3,1
8494,183699,2015,24.1911,2,2,6,2,1,3,1
8495,183700,2015,25.4394,2,6,1,4,1,1,1
8496,183701,2015,23.0352,1,7,4,1,7,3,1
8497,183702,2015,27.3176,2,1,1,3,3,3,1
8498,183703,2015,21.4913,2,4,3,1,3,3,1
8499,183704,2015,27.9727,2,8,3,1,2,3,1
8500,183708,2015,19.12,1,4,2,2,7,3,1
8501,183709,2015,33.4943,1,7,5,7,5,3,1
8502,183710,2015,17.4814,1,8,6,7,5,3,1
8503,183711,2015,20.6155,1,2,4,7,7,4,1
8504,183713,2015,24.5453,2,3,3,3,2,3,1
8505,183714,2015,18.3673,2,6,2,7,1,1,1
8506,183715,2015,23.9239,1,8,7,7,1,2,1
8507,183717,2015,20.6594,2,6,5,7,2,1,1
8508,183719,2015,16.8033,2,4,7,7,2,1,1
8509,183724,2015,27.0949,2,6,1,3,1,1,1
8510,183725,2015,35.6133,2,1,1,7,1,3,1
8511,183726,2015,23.0494,1,2,3,7,2,3,1
8512,183728,2015,22.7822,2,1,7,7,1,3,1
8513,183730,2015,19.9927,2,6,1,5,2,3,1
8514,183733,2015,17.4279,2,1,2,7,2,3,1
8515,183734,2015,17.8955,2,6,6,7,2,1,1
8516,183735,2015,22.7338,2,8,1,5,2,1,1
8517,183736,2015,22.6616,1,1,3,7,2,1,1
8518,183737,2015,23.003,2,4,4,1,1,3,1
8519,183738,2015,25.2663,2,6,3,6,7,1,1
8520,183739,2015,30.7313,2,4,2,7,3,1,1
8521,183740,2015,23.2109,2,4,5,2,2,4,1
8522,183741,2015,29.0887,2,6,4,3,2,1,1
8523,183742,2015,18.9507,1,4,3,4,3,1,1
8524,183743,2015,26.975,2,6,4,5,1,3,1
8525,183744,2015,20.4863,1,1,2,2,4,1,1
8526,183745,2015,23.6996,2,8,4,4,1,4,1
8527,183746,2015,26.6794,2,1,3,7,1,2,1
8528,183747,2015,20.4863,1,1,4,5,1,1,1
8529,183748,2015,23.9219,2,1,2,2,1,1,1
8530,183750,2015,22.1484,1,1,1,1,2,2,1
8531,183751,2015,22.195,2,5,5,2,2,1,1
8532,183753,2015,27.6036,2,6,2,2,1,3,1
8533,183755,2015,21.9723,1,7,2,1,1,1,1
8534,183756,2015,31.1737,2,6,2,1,7,2,1
8535,183757,2015,22.6612,2,8,6,6,2,2,1
8536,183758,2015,21.51,1,8,4,7,1,1,1
8537,183759,2015,21.2617,1,5,7,7,3,3,1
8538,183761,2015,21.1611,2,8,1,6,4,3,1
8539,183762,2015,21.793,1,6,3,2,1,3,1
8540,183763,2015,17.3694,2,6,5,3,1,1,1
8541,183765,2015,19.9927,2,4,1,1,1,1,1
8542,183766,2015,22.082,2,8,5,5,1,1,1
8543,183767,2015,20.9063,1,2,5,1,3,1,1
8544,183768,2015,18.0332,1,2,2,7,6,3,1
8545,183770,2015,19.3125,1,8,3,6,3,1,1
8546,183771,2015,19.6194,2,5,2,4,1,1,1
8547,183772,2015,15.2745,2,4,2,7,1,4,1
8548,183773,2015,21.1611,1,6,5,2,2,3,1
8549,183774,2015,25.3966,2,3,1,1,2,3,1
8550,183775,2015,17.3633,2,3,2,1,1,4,1
8551,183776,2015,23.9,1,8,4,4,1,1,1
8552,183777,2015,26.2089,2,5,5,6,1,1,1
8553,183778,2015,22.3242,2,4,2,2,1,1,1
8554,183779,2015,21.7107,1,7,3,7,2,1,1
8555,183780,2015,21.8525,2,2,5,2,2,3,1
8556,183781,2015,17.68,2,8,4,3,2,1,1
8557,183782,2015,23.6584,1,7,2,3,2,3,1
8558,183783,2015,24.1579,2,1,5,7,2,2,1
8559,183784,2015,21.3407,1,6,4,1,2,4,1
8560,183785,2015,20.5606,1,5,3,1,6,3,1
8561,183786,2015,22.4512,1,4,6,3,2,2,1
8562,183787,2015,19.5059,1,8,2,2,3,4,1
8563,183788,2015,17.5844,1,1,4,7,5,2,1
8564,183789,2015,18.0332,2,6,6,4,2,3,1
8565,183790,2015,23.3029,2,7,2,7,1,1,1
8566,183791,2015,26.5781,2,3,6,7,2,2,1
8567,183792,2015,28.8267,1,3,1,1,2,4,1
8568,183794,2015,22.2171,2,5,3,6,2,2,1
8569,183795,2015,18.7813,2,1,5,5,2,4,1
8570,183796,2015,21.8255,2,3,7,3,1,1,1
8571,183797,2015,31.4145,1,5,2,6,1,3,1
8572,183798,2015,24.7993,2,5,4,3,1,1,1
8573,183799,2015,23.3242,2,7,4,1,1,2,1
8574,183800,2015,20.4709,2,8,1,4,1,1,1
8575,183802,2015,20.4922,1,1,2,6,4,2,1
8576,183803,2015,22.6556,2,4,4,7,1,2,1
8577,183804,2015,18.3467,2,6,5,4,1,3,1
8578,183805,2015,24.9275,1,7,1,7,1,2,1
8579,183806,2015,28.3516,2,4,4,5,1,1,1
8580,183807,2015,17.7188,2,4,4,5,2,3,1
8581,183808,2015,19.6584,2,3,7,7,2,1,1
8582,183809,2015,29.8105,2,5,1,6,2,3,1
8583,183810,2015,26.6593,1,5,4,7,2,3,1
8584,183811,2015,23.9219,2,1,2,1,3,2,1
8585,183812,2015,23.4923,2,2,2,7,2,1,1
8586,183813,2015,28.2526,2,5,5,6,3,1,1
8587,183818,2015,30.6523,2,4,4,5,2,1,1
8588,183820,2015,24.8047,2,8,4,3,1,1,1
8589,183821,2015,20.16,1,2,3,7,4,4,1
8590,183822,2015,18.9541,1,2,6,1,2,3,1
8591,183825,2015,27.1094,1,2,2,7,2,2,1
8592,183829,2015,22.5039,2,5,1,3,2,2,1
8593,183830,2015,25.1113,2,4,2,4,2,3,1
8594,183831,2015,23.1855,1,5,7,7,1,3,1
8595,183832,2015,24.4756,2,1,4,5,2,3,1
8596,183833,2015,22.0219,2,5,2,5,1,2,1
8597,183834,2015,20.8936,2,6,2,5,2,3,1
8598,183835,2015,27.6835,2,4,2,5,1,2,1
8599,183837,2015,21.5303,2,4,4,1,2,2,1
8600,183839,2015,29.4913,1,8,1,1,2,2,1
8601,183840,2015,25.0709,1,3,2,4,1,1,1
8602,183843,2015,23.5587,2,1,3,7,2,2,1
8603,183844,2015,35.6176,2,1,1,7,1,4,1
8604,183845,2015,25.92,2,4,5,2,2,3,1
8605,183846,2015,22.195,1,3,1,1,2,3,1
8606,183847,2015,38.4492,2,4,4,1,1,3,1
8607,183848,2015,24.5956,1,2,5,3,3,3,1
8608,183849,2015,18.7813,1,1,7,5,7,1,1
8609,183850,2015,22.195,2,3,5,1,2,3,1
8610,183851,2015,19.2932,2,3,1,3,2,3,1
8611,183852,2015,21.4414,2,1,6,4,1,3,1
8612,183854,2015,25.1298,2,6,2,2,1,1,1
8613,183855,2015,25.2338,2,4,3,3,2,2,1
8614,183856,2015,27.8465,2,1,4,1,2,1,1
8615,183858,2015,17.0725,2,1,7,7,2,3,1
8616,183859,2015,17.0725,2,3,2,1,1,1,1
8617,183861,2015,25.6088,1,3,2,7,5,3,1
8618,183862,2015,27.9961,1,8,5,1,3,3,1
8619,183863,2015,23.1648,1,6,2,4,1,3,1
8620,183864,2015,20.8288,1,5,7,7,3,3,1
8621,183865,2015,25.6774,2,4,3,2,1,1,1
8622,183866,2015,29.8105,1,2,2,3,4,3,1
8623,183867,2015,16.1954,2,1,2,1,2,3,1
8624,183868,2015,19.9927,1,2,1,7,2,3,1
8625,183869,2015,25.0709,2,3,5,5,2,3,1
8626,183870,2015,21.7107,2,5,7,1,1,3,1
8627,183872,2015,14.8518,2,6,1,2,1,2,1
8628,183873,2015,17.737,2,5,1,7,2,2,1
8629,183874,2015,23.9239,1,2,2,5,3,3,1
8630,183877,2015,22.4429,1,5,4,7,2,1,1
8631,183880,2015,24.1065,2,2,4,5,1,4,1
8632,183883,2015,19.875,2,3,5,6,2,3,1
8633,183887,2015,23.0494,1,4,4,1,2,3,1
8634,183889,2015,17.8945,1,5,1,7,3,1,1
8635,183892,2015,20.3269,1,5,3,5,1,2,1
8636,183893,2015,28.2526,2,1,3,4,4,1,1
8637,183895,2015,20.2442,2,3,4,7,1,3,1
8638,183896,2015,30.7313,1,1,1,7,1,1,1
8639,183898,2015,20.375,2,6,2,2,1,3,1
8640,183905,2015,26.8246,1,3,2,1,2,2,1
8641,183906,2015,20.5878,2,5,3,3,1,1,1
8642,183907,2015,26.5781,2,1,4,5,1,1,1
8643,183908,2015,21.1689,1,4,4,6,3,3,1
8644,183909,2015,23.5587,1,5,2,1,1,1,1
8645,183910,2015,22.3251,2,4,3,5,2,3,1
8646,183911,2015,25.7617,2,8,2,6,1,1,1
8647,183912,2015,27.2178,1,8,2,7,3,3,1
8648,183913,2015,22.1797,1,2,5,3,2,1,1
8649,183914,2015,17.6679,2,3,4,4,2,3,1
8650,183915,2015,22.1484,1,8,5,4,1,1,1
8651,183916,2015,20.4863,2,4,3,4,1,4,1
8652,183917,2015,21.3754,1,7,5,7,1,1,1
8653,183918,2015,23.9526,2,5,4,6,1,1,1
8654,183919,2015,23.6004,1,6,4,1,3,3,1
8655,183920,2015,20.0234,2,3,5,6,1,1,1
8656,183921,2015,17.2664,1,1,1,7,1,1,1
8657,183922,2015,22.7338,1,4,2,2,2,1,1
8658,183923,2015,23.3242,1,2,4,1,3,4,1
8659,183924,2015,20.4863,1,2,1,7,2,1,1
8660,183925,2015,22.1598,2,2,2,3,2,2,1
8661,183926,2015,20.2442,2,5,1,3,1,1,1
8662,183929,2015,23.9219,1,8,2,2,3,3,1
8663,183930,2015,19.4922,2,7,3,1,1,1,1
8664,183931,2015,23.5433,1,7,6,7,1,1,1
8665,183932,2015,24.1665,2,8,4,1,1,1,1
8666,183933,2015,20.4618,1,4,3,2,1,1,1
8667,183934,2015,20.7347,1,8,2,5,2,1,1
8668,183935,2015,23.7422,1,6,4,7,4,2,1
8669,183936,2015,19.4625,2,3,1,5,3,4,1
8670,183937,2015,36.0624,1,1,5,7,1,1,1
8671,183938,2015,25.5791,1,1,7,7,2,1,1
8672,183939,2015,36.6222,1,6,5,3,2,1,1
8673,183940,2015,22.494,2,2,3,5,1,1,1
8674,183942,2015,18.7716,2,3,2,4,4,1,1
8675,183943,2015,22.082,2,6,1,6,1,2,1
8676,183944,2015,22.3391,2,4,2,1,2,1,1
8677,183945,2015,27.4844,2,7,2,5,2,1,1
8678,183946,2015,19.8465,2,8,5,2,1,1,1
8679,183947,2015,23.9219,1,6,3,5,1,1,1
8680,183948,2015,22.195,2,7,3,6,1,1,1
8681,183949,2015,23.2216,2,7,5,1,1,4,1
8682,183950,2015,22.2687,2,3,3,4,1,1,1
8683,183951,2015,23.4787,2,8,4,4,1,1,1
8684,183952,2015,21.6172,2,6,4,4,1,1,1
8685,183953,2015,23.5433,1,8,2,4,1,4,1
8686,183954,2015,19.9927,2,4,1,2,1,2,1
8687,183955,2015,19.2932,2,7,5,7,1,1,1
8688,183956,2015,22.6797,2,7,3,2,1,1,1
8689,183957,2015,24.9351,1,8,4,2,2,1,1
8690,183958,2015,31.2832,2,2,7,5,3,1,1
8691,183959,2015,20.4863,2,8,3,7,2,1,1
8692,183961,2015,26.5228,2,1,1,7,2,2,1
8693,183962,2015,33.0406,2,7,3,5,2,1,1
8694,183963,2015,19.7751,1,6,4,4,2,3,1
8695,183964,2015,18.0618,2,1,1,7,2,1,1
8696,183966,2015,18.036,1,4,3,2,1,1,1
8697,183967,2015,19.9927,1,3,3,4,1,1,1
8698,183971,2015,21.3407,2,2,3,4,1,3,1
8699,183972,2015,22.0458,1,6,2,5,2,1,1
8700,183973,2015,19.9298,2,6,5,7,1,1,1
8701,183982,2015,21.3407,1,6,2,1,2,3,1
8702,183985,2015,21.9727,2,7,1,1,2,1,1
8703,183986,2015,29.0225,1,7,2,6,3,3,1
8704,183987,2015,22.7338,2,1,5,7,1,2,1
8705,183988,2015,27.2852,2,4,6,3,3,3,1
8706,183989,2015,20.2487,1,5,3,1,3,2,1
8707,183990,2015,27.1053,2,7,2,3,1,1,1
8708,183993,2015,21.3407,1,1,1,1,2,1,1
8709,183994,2015,29.0225,1,5,1,7,5,3,1
8710,183995,2015,38.8924,2,6,5,7,1,1,1
8711,183996,2015,20.4048,1,8,2,3,1,3,1
8712,183999,2015,19.633,2,6,5,4,2,3,1
8713,184000,2015,23.3721,1,8,1,1,2,1,1
8714,184001,2015,20.1577,1,6,4,1,1,1,1
8715,184002,2015,17.7188,2,1,4,4,1,1,1
8716,184003,2015,24.0138,2,5,5,2,1,3,1
8717,184004,2015,18.6437,1,8,2,2,3,1,1
8718,184005,2015,24.8448,1,3,4,7,3,3,1
8719,184006,2015,20.4618,1,2,2,5,1,3,1
8720,184007,2015,17.7188,1,7,1,1,5,1,1
8721,184008,2015,22.4986,2,5,5,7,1,2,1
8722,184009,2015,41.3053,2,1,7,1,4,2,1
8723,184010,2015,18.2609,2,7,4,3,1,3,1
8724,184011,2015,34.9899,2,3,1,1,1,2,1
8725,184013,2015,20.2442,1,4,2,2,2,1,1
8726,184014,2015,20.6594,2,7,2,1,1,1,1
8727,184015,2015,24.924,1,5,6,2,2,3,1
8728,184016,2015,23.2216,1,3,5,5,2,3,1
8729,184017,2015,23.9927,1,4,3,3,3,1,1
8730,184018,2015,21.0311,2,2,1,4,2,1,1
8731,184020,2015,21.9875,1,1,4,1,1,1,1
8732,184021,2015,28.8937,1,6,5,7,1,1,1
8733,184022,2015,19.9927,1,8,5,7,7,4,1
8734,184024,2015,23.1822,2,8,4,7,3,2,1
8735,184025,2015,17.3633,2,8,2,1,2,2,1
8736,184026,2015,18.6593,1,8,4,7,2,1,1
8737,184027,2015,19.285,2,8,3,1,2,3,1
8738,184028,2015,25.1142,1,6,4,7,3,2,1
8739,184029,2015,35.3402,2,1,5,7,2,1,1
8740,184030,2015,21.6609,1,8,1,1,1,1,1
8741,184031,2015,31.4125,2,3,1,2,3,2,1
8742,184032,2015,27.2344,2,6,1,2,1,4,1
8743,184033,2015,24.1065,2,5,5,7,2,4,1
8744,184034,2015,24.2425,2,6,4,2,1,3,1
8745,184036,2015,24.1071,2,8,5,4,1,1,1
8746,184037,2015,30.6444,2,5,3,4,3,3,1
8747,184038,2015,27.8237,1,2,2,6,3,3,1
8748,184039,2015,23.0352,1,8,1,7,3,3,1
8749,184040,2015,17.9269,2,7,2,4,1,1,1
8750,184041,2015,23.5433,1,8,5,4,1,1,1
8751,184042,2015,29.4494,1,8,2,1,3,3,1
8752,184043,2015,24.5453,2,1,7,1,2,4,1
8753,184045,2015,21.6172,2,5,1,3,2,3,1
8754,184046,2015,24.9917,1,8,4,5,2,3,1
8755,184047,2015,20.204,1,8,4,5,2,3,1
8756,184048,2015,25.8962,1,8,1,5,2,2,1
8757,184049,2015,19.9927,2,7,2,3,1,1,1
8758,184050,2015,26.2227,1,2,1,7,1,1,1
8759,184051,2015,20.3171,2,7,1,1,1,1,1
8760,184052,2015,26.5781,1,3,5,1,3,2,1
8761,184053,2015,20.8264,2,1,1,5,3,4,1
8762,184055,2015,25.1142,1,6,5,3,2,2,1
8763,184056,2015,15.1559,2,4,6,7,3,3,1
8764,184058,2015,26.6826,2,5,2,2,1,1,1
8765,184059,2015,22.4683,2,5,1,6,2,1,1
8766,184060,2015,18.25,1,1,3,4,3,3,1
8767,184061,2015,20.9063,1,8,5,1,2,1,1
8768,184062,2015,24.8047,2,8,2,4,2,3,1
8769,184064,2015,21.5234,2,3,5,1,1,1,1
8770,184065,2015,31.1007,1,6,5,4,1,3,1
8771,184066,2015,20.204,2,2,6,5,1,3,1
8772,184067,2015,26.4308,2,5,2,6,1,2,1
8773,184068,2015,26.5164,1,4,7,6,3,2,1
8774,184069,2015,31.6547,1,7,7,1,2,3,1
8775,184070,2015,30.8246,2,4,1,5,1,3,1
8776,184071,2015,21.6602,2,2,1,2,2,3,1
8777,184072,2015,36.1445,1,5,1,1,2,3,1
8778,184073,2015,22.97,1,4,3,5,1,3,1
8779,184075,2015,20.2442,1,3,5,7,3,3,1
8780,184077,2015,22.6556,1,1,1,5,6,3,1
8781,184078,2015,22.129,2,8,2,5,1,1,1
8782,184079,2015,24.5453,2,4,2,4,1,3,1
8783,184080,2015,17.1123,1,2,2,6,4,1,1
8784,184081,2015,21.3407,2,3,1,3,2,1,1
8785,184082,2015,22.8246,1,8,6,1,2,2,1
8786,184083,2015,23.9239,1,7,3,3,2,1,1
8787,184084,2015,23.9239,2,5,5,5,1,3,1
8788,184085,2015,21.2617,2,3,2,4,2,1,1
8789,184086,2015,24.8047,1,5,1,1,1,3,1
8790,184087,2015,21.598,2,5,7,1,2,4,1
8791,184088,2015,28.8816,2,6,6,3,1,3,1
8792,184089,2015,23.3639,2,1,1,2,1,4,1
8793,184090,2015,15.9453,1,8,3,4,2,1,1
8794,184091,2015,18.3287,1,6,4,2,2,1,1
